,0,1,2
0,-0.7237,-4.6298,-4.1199
1,-0.6571,-5.0646,-4.6663
2,-0.98,-4.2757,-4.4676
3,-1.0529,-4.6296,-5.9959
4,-0.5454,-5.432,-5.2435
5,-0.7307,-4.8932,-4.1799
6,-0.7368,-4.8802,-4.478
7,-0.6551,-5.1082,-4.5877
8,-0.7822,-4.8364,-5.0308
9,-0.7223,-5.0109,-4.5996
10,-0.7015,-5.2329,-4.8558
11,-0.72,-4.72,-4.6058
12,-1.0527,-4.9777,-6.2675
13,-0.7277,-6.4854,-5.9148
14,-0.9595,-4.9807,-4.5323
15,-0.8366,-5.4349,-5.6052
16,-0.9223,-4.5513,-5.3678
17,-0.7407,-6.3922,-6.6886
18,-0.9068,-5.2857,-5.718
19,-0.937,-4.5288,-5.8252
20,-1.1405,-4.0509,-5.2545
21,-1.0261,-4.5824,-6.1361
22,-0.9086,-5.1301,-6.0171
23,-0.707,-5.6596,-5.4538
24,-0.8506,-5.3654,-6.2617
25,-0.9021,-5.1194,-5.9486
26,-0.8034,-5.2933,-6.3653
